,lon,lat,alt
2019-08-05 11:54:51,-123.0116120000,48.5453580000,0
2019-08-05 11:54:53,-123.0115900000,48.5453530000,0
2019-08-05 11:54:55,-123.0115720000,48.5453500000,0
2019-08-05 11:54:57,-123.0115550000,48.5453480000,0
2019-08-05 11:54:59,-123.0115400000,48.5453480000,0
2019-08-05 11:55:01,-123.0115250000,48.5453480000,0
2019-08-05 11:55:04,-123.0115050000,48.5453480000,0
2019-08-05 11:55:07,-123.0114870000,48.5453480000,0
2019-08-05 11:55:09,-123.0114730000,48.5453500000,0
2019-08-05 11:55:12,-123.0114580000,48.5453520000,0
2019-08-05 11:55:15,-123.0114450000,48.5453530000,0
2019-08-05 11:55:18,-123.0114320000,48.5453550000,0
2019-08-05 11:55:22,-123.0114170000,48.5453600000,0
2019-08-05 11:55:27,-123.0114030000,48.5453650000,0
2019-08-05 11:55:31,-123.0113920000,48.5453700000,0
2019-08-05 11:55:36,-123.0113770000,48.5453720000,0
2019-08-05 11:55:39,-123.0113570000,48.5453720000,0
2019-08-05 11:55:41,-123.0113350000,48.5453700000,0
2019-08-05 11:55:42,-123.0113220000,48.5453680000,0
2019-08-05 11:55:43,-123.0113070000,48.5453670000,0
2019-08-05 11:55:44,-123.0112880000,48.5453650000,0
2019-08-05 11:55:45,-123.0112700000,48.5453620000,0
2019-08-05 11:55:46,-123.0112480000,48.5453600000,0
2019-08-05 11:55:47,-123.0112270000,48.5453570000,0
2019-08-05 11:55:48,-123.0112030000,48.5453550000,0
2019-08-05 11:55:49,-123.0111780000,48.5453520000,0
2019-08-05 11:55:50,-123.0111530000,48.5453480000,0
2019-08-05 11:55:51,-123.0111270000,48.5453450000,0
2019-08-05 11:55:52,-123.0110980000,48.5453430000,0
2019-08-05 11:55:53,-123.0110720000,48.5453400000,0
2019-08-05 11:55:54,-123.0110430000,48.5453370000,0
2019-08-05 11:55:55,-123.0110130000,48.5453330000,0
2019-08-05 11:55:56,-123.0109850000,48.5453320000,0
2019-08-05 11:55:57,-123.0109570000,48.5453280000,0
2019-08-05 11:55:58,-123.0109300000,48.5453270000,0
2019-08-05 11:55:59,-123.0109020000,48.5453250000,0
2019-08-05 11:56:00,-123.0108730000,48.5453230000,0
2019-08-05 11:56:01,-123.0108450000,48.5453230000,0
2019-08-05 11:56:02,-123.0108180000,48.5453230000,0
2019-08-05 11:56:03,-123.0107900000,48.5453250000,0
2019-08-05 11:56:04,-123.0107620000,48.5453230000,0
2019-08-05 11:56:05,-123.0107320000,48.5453230000,0
2019-08-05 11:56:06,-123.0107020000,48.5453220000,0
2019-08-05 11:56:07,-123.0106720000,48.5453230000,0
2019-08-05 11:56:08,-123.0106400000,48.5453230000,0
2019-08-05 11:56:09,-123.0106080000,48.5453250000,0
2019-08-05 11:56:10,-123.0105750000,48.5453250000,0
2019-08-05 11:56:11,-123.0105430000,48.5453230000,0
2019-08-05 11:56:12,-123.0105100000,48.5453220000,0
2019-08-05 11:56:13,-123.0104780000,48.5453200000,0
2019-08-05 11:56:14,-123.0104480000,48.5453200000,0
2019-08-05 11:56:15,-123.0104150000,48.5453180000,0
2019-08-05 11:56:16,-123.0103830000,48.5453180000,0
2019-08-05 11:56:17,-123.0103500000,48.5453170000,0
2019-08-05 11:56:18,-123.0103180000,48.5453150000,0
2019-08-05 11:56:19,-123.0102870000,48.5453130000,0
2019-08-05 11:56:20,-123.0102550000,48.5453130000,0
2019-08-05 11:56:21,-123.0102250000,48.5453130000,0
2019-08-05 11:56:22,-123.0101930000,48.5453150000,0
2019-08-05 11:56:23,-123.0101600000,48.5453150000,0
2019-08-05 11:56:24,-123.0101280000,48.5453170000,0
2019-08-05 11:56:25,-123.0100970000,48.5453150000,0
2019-08-05 11:56:26,-123.0100650000,48.5453150000,0
2019-08-05 11:56:27,-123.0100330000,48.5453150000,0
2019-08-05 11:56:28,-123.0100050000,48.5453180000,0
2019-08-05 11:56:29,-123.0099750000,48.5453220000,0
2019-08-05 11:56:30,-123.0099430000,48.5453230000,0
2019-08-05 11:56:31,-123.0099120000,48.5453270000,0
2019-08-05 11:56:32,-123.0098800000,48.5453280000,0
2019-08-05 11:56:33,-123.0098480000,48.5453320000,0
2019-08-05 11:56:34,-123.0098180000,48.5453350000,0
2019-08-05 11:56:35,-123.0097850000,48.5453400000,0
2019-08-05 11:56:36,-123.0097520000,48.5453450000,0
2019-08-05 11:56:37,-123.0097180000,48.5453480000,0
2019-08-05 11:56:38,-123.0096830000,48.5453520000,0
2019-08-05 11:56:39,-123.0096500000,48.5453550000,0
2019-08-05 11:56:40,-123.0096170000,48.5453570000,0
2019-08-05 11:56:41,-123.0095820000,48.5453580000,0
2019-08-05 11:56:42,-123.0095480000,48.5453600000,0
2019-08-05 11:56:43,-123.0095150000,48.5453620000,0
2019-08-05 11:56:44,-123.0094800000,48.5453630000,0
2019-08-05 11:56:45,-123.0094470000,48.5453630000,0
2019-08-05 11:56:46,-123.0094130000,48.5453630000,0
2019-08-05 11:56:47,-123.0093800000,48.5453630000,0
2019-08-05 11:56:48,-123.0093470000,48.5453620000,0
2019-08-05 11:56:49,-123.0093130000,48.5453620000,0
2019-08-05 11:56:50,-123.0092800000,48.5453600000,0
2019-08-05 11:56:51,-123.0092470000,48.5453600000,0
2019-08-05 11:56:52,-123.0092150000,48.5453600000,0
2019-08-05 11:56:53,-123.0091820000,48.5453580000,0
2019-08-05 11:56:54,-123.0091480000,48.5453570000,0
2019-08-05 11:56:55,-123.0091150000,48.5453550000,0
2019-08-05 11:56:56,-123.0090820000,48.5453530000,0
2019-08-05 11:56:57,-123.0090470000,48.5453500000,0
2019-08-05 11:56:58,-123.0090100000,48.5453470000,0
2019-08-05 11:56:59,-123.0089730000,48.5453450000,0
2019-08-05 11:57:00,-123.0089370000,48.5453420000,0
2019-08-05 11:57:01,-123.0088980000,48.5453380000,0
2019-08-05 11:57:02,-123.0088600000,48.5453370000,0
2019-08-05 11:57:03,-123.0088230000,48.5453350000,0
2019-08-05 11:57:04,-123.0087850000,48.5453350000,0
2019-08-05 11:57:05,-123.0087470000,48.5453370000,0
2019-08-05 11:57:06,-123.0087100000,48.5453370000,0
2019-08-05 11:57:07,-123.0086720000,48.5453350000,0
2019-08-05 11:57:08,-123.0086350000,48.5453370000,0
2019-08-05 11:57:09,-123.0085980000,48.5453370000,0
2019-08-05 11:57:10,-123.0085620000,48.5453380000,0
2019-08-05 11:57:11,-123.0085220000,48.5453400000,0
2019-08-05 11:57:12,-123.0084830000,48.5453420000,0
2019-08-05 11:57:13,-123.0084450000,48.5453430000,0
2019-08-05 11:57:14,-123.0084050000,48.5453450000,0
2019-08-05 11:57:15,-123.0083630000,48.5453450000,0
2019-08-05 11:57:16,-123.0083220000,48.5453480000,0
2019-08-05 11:57:17,-123.0082820000,48.5453500000,0
2019-08-05 11:57:18,-123.0082400000,48.5453520000,0
2019-08-05 11:57:19,-123.0081980000,48.5453530000,0
2019-08-05 11:57:20,-123.0081580000,48.5453550000,0
2019-08-05 11:57:21,-123.0081170000,48.5453580000,0
2019-08-05 11:57:22,-123.0080750000,48.5453600000,0
2019-08-05 11:57:23,-123.0080330000,48.5453630000,0
2019-08-05 11:57:24,-123.0079930000,48.5453670000,0
2019-08-05 11:57:25,-123.0079530000,48.5453700000,0
2019-08-05 11:57:26,-123.0079120000,48.5453730000,0
2019-08-05 11:57:27,-123.0078700000,48.5453780000,0
2019-08-05 11:57:28,-123.0078300000,48.5453830000,0
2019-08-05 11:57:29,-123.0077880000,48.5453900000,0
2019-08-05 11:57:30,-123.0077480000,48.5453950000,0
2019-08-05 11:57:31,-123.0077030000,48.5454030000,0
2019-08-05 11:57:32,-123.0076600000,48.5454130000,0
2019-08-05 11:57:33,-123.0076180000,48.5454230000,0
2019-08-05 11:57:34,-123.0075770000,48.5454350000,0
2019-08-05 11:57:35,-123.0075350000,48.5454470000,0
2019-08-05 11:57:36,-123.0074950000,48.5454580000,0
2019-08-05 11:57:37,-123.0074550000,48.5454720000,0
2019-08-05 11:57:38,-123.0074150000,48.5454880000,0
2019-08-05 11:57:39,-123.0073780000,48.5455050000,0
2019-08-05 11:57:40,-123.0073420000,48.5455220000,0
2019-08-05 11:57:41,-123.0073030000,48.5455370000,0
2019-08-05 11:57:42,-123.0072670000,48.5455550000,0
2019-08-05 11:57:43,-123.0072350000,48.5455730000,0
2019-08-05 11:57:44,-123.0072070000,48.5455920000,0
2019-08-05 11:57:45,-123.0071800000,48.5456130000,0
2019-08-05 11:57:46,-123.0071500000,48.5456350000,0
2019-08-05 11:57:47,-123.0071200000,48.5456580000,0
2019-08-05 11:57:48,-123.0070930000,48.5456800000,0
2019-08-05 11:57:49,-123.0070700000,48.5457020000,0
2019-08-05 11:57:50,-123.0070450000,48.5457230000,0
2019-08-05 11:57:51,-123.0070170000,48.5457470000,0
2019-08-05 11:57:52,-123.0069870000,48.5457700000,0
2019-08-05 11:57:53,-123.0069570000,48.5457950000,0
2019-08-05 11:57:54,-123.0069300000,48.5458180000,0
2019-08-05 11:57:55,-123.0069030000,48.5458420000,0
2019-08-05 11:57:56,-123.0068750000,48.5458630000,0
2019-08-05 11:57:57,-123.0068420000,48.5458820000,0
2019-08-05 11:57:58,-123.0068070000,48.5459000000,0
2019-08-05 11:57:59,-123.0067700000,48.5459200000,0
2019-08-05 11:58:00,-123.0067350000,48.5459380000,0
2019-08-05 11:58:01,-123.0067020000,48.5459580000,0
2019-08-05 11:58:02,-123.0066650000,48.5459770000,0
2019-08-05 11:58:03,-123.0066280000,48.5459970000,0
2019-08-05 11:58:04,-123.0065930000,48.5460170000,0
2019-08-05 11:58:05,-123.0065580000,48.5460370000,0
2019-08-05 11:58:06,-123.0065250000,48.5460580000,0
2019-08-05 11:58:07,-123.0064900000,48.5460780000,0
2019-08-05 11:58:08,-123.0064570000,48.5461000000,0
2019-08-05 11:58:09,-123.0064270000,48.5461220000,0
2019-08-05 11:58:10,-123.0063970000,48.5461430000,0
2019-08-05 11:58:11,-123.0063680000,48.5461650000,0
2019-08-05 11:58:12,-123.0063400000,48.5461880000,0
2019-08-05 11:58:13,-123.0063120000,48.5462100000,0
2019-08-05 11:58:14,-123.0062820000,48.5462350000,0
2019-08-05 11:58:15,-123.0062500000,48.5462620000,0
2019-08-05 11:58:16,-123.0062200000,48.5462900000,0
2019-08-05 11:58:17,-123.0061900000,48.5463180000,0
2019-08-05 11:58:18,-123.0061620000,48.5463470000,0
2019-08-05 11:58:19,-123.0061320000,48.5463780000,0
2019-08-05 11:58:20,-123.0061030000,48.5464100000,0
2019-08-05 11:58:21,-123.0060730000,48.5464430000,0
2019-08-05 11:58:22,-123.0060420000,48.5464780000,0
2019-08-05 11:58:23,-123.0060120000,48.5465130000,0
2019-08-05 11:58:24,-123.0059820000,48.5465480000,0
2019-08-05 11:58:25,-123.0059530000,48.5465850000,0
2019-08-05 11:58:26,-123.0059270000,48.5466230000,0
2019-08-05 11:58:27,-123.0058980000,48.5466620000,0
2019-08-05 11:58:28,-123.0058730000,48.5467000000,0
2019-08-05 11:58:29,-123.0058480000,48.5467400000,0
2019-08-05 11:58:30,-123.0058220000,48.5467820000,0
2019-08-05 11:58:31,-123.0057950000,48.5468220000,0
2019-08-05 11:58:32,-123.0057680000,48.5468630000,0
2019-08-05 11:58:33,-123.0057420000,48.5469050000,0
2019-08-05 11:58:34,-123.0057150000,48.5469450000,0
2019-08-05 11:58:35,-123.0056900000,48.5469870000,0
2019-08-05 11:58:36,-123.0056650000,48.5470280000,0
2019-08-05 11:58:37,-123.0056430000,48.5470680000,0
2019-08-05 11:58:38,-123.0056230000,48.5471100000,0
2019-08-05 11:58:39,-123.0056020000,48.5471520000,0
2019-08-05 11:58:40,-123.0055780000,48.5471930000,0
2019-08-05 11:58:41,-123.0055530000,48.5472350000,0
2019-08-05 11:58:42,-123.0055280000,48.5472770000,0
2019-08-05 11:58:43,-123.0055070000,48.5473180000,0
2019-08-05 11:58:44,-123.0054870000,48.5473600000,0
2019-08-05 11:58:45,-123.0054680000,48.5474020000,0
2019-08-05 11:58:46,-123.0054470000,48.5474430000,0
2019-08-05 11:58:47,-123.0054220000,48.5474870000,0
2019-08-05 11:58:48,-123.0053930000,48.5475280000,0
2019-08-05 11:58:49,-123.0053670000,48.5475720000,0
2019-08-05 11:58:50,-123.0053420000,48.5476120000,0
2019-08-05 11:58:51,-123.0053150000,48.5476530000,0
2019-08-05 11:58:52,-123.0052870000,48.5476950000,0
2019-08-05 11:58:53,-123.0052570000,48.5477370000,0
2019-08-05 11:58:54,-123.0052270000,48.5477780000,0
2019-08-05 11:58:55,-123.0051950000,48.5478200000,0
2019-08-05 11:58:56,-123.0051650000,48.5478600000,0
2019-08-05 11:58:57,-123.0051330000,48.5479020000,0
2019-08-05 11:58:58,-123.0051000000,48.5479400000,0
2019-08-05 11:58:59,-123.0050680000,48.5479780000,0
2019-08-05 11:59:00,-123.0050380000,48.5480170000,0
2019-08-05 11:59:01,-123.0050080000,48.5480530000,0
2019-08-05 11:59:02,-123.0049750000,48.5480900000,0
2019-08-05 11:59:03,-123.0049400000,48.5481300000,0
2019-08-05 11:59:04,-123.0049000000,48.5481730000,0
2019-08-05 11:59:05,-123.0048580000,48.5482170000,0
2019-08-05 11:59:06,-123.0048200000,48.5482620000,0
2019-08-05 11:59:07,-123.0047820000,48.5483080000,0
2019-08-05 11:59:08,-123.0047450000,48.5483570000,0
2019-08-05 11:59:09,-123.0047070000,48.5484050000,0
2019-08-05 11:59:10,-123.0046670000,48.5484530000,0
2019-08-05 11:59:11,-123.0046280000,48.5485030000,0
2019-08-05 11:59:12,-123.0045900000,48.5485550000,0
2019-08-05 11:59:13,-123.0045530000,48.5486070000,0
2019-08-05 11:59:14,-123.0045200000,48.5486620000,0
2019-08-05 11:59:15,-123.0044900000,48.5487180000,0
2019-08-05 11:59:16,-123.0044620000,48.5487730000,0
2019-08-05 11:59:17,-123.0044330000,48.5488320000,0
2019-08-05 11:59:18,-123.0044070000,48.5488900000,0
2019-08-05 11:59:19,-123.0043830000,48.5489470000,0
